Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100USB
Power Meter SN,P2000216
Sensor,S121C
Sensor SN,09072425
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto

Start of Measurement,5/18/2026 16:14:26
Elapsed Time,00:00:10:000
Samples,3738

--Statistics--
Minimum [W],0.14725
Maximum [W],0.1654
Mean [W],0.15807
Standard Deviation [W],0.0042216
Ratio,1.123 : 1

--Graph Data--
Time (ms),Power (W)
6.733,0.16039
9.782,0.16046
12.335,0.16039
14.985,0.16026
17.773,0.15994
20.348,0.15958
22.990,0.15951
25.730,0.15951
28.328,0.15935
34.779,0.15938
37.358,0.15968
39.996,0.15964
42.734,0.15974
45.340,0.15981
48.201,0.15987
51.518,0.15935
54.343,0.15899
57.007,0.15899
59.749,0.15912
62.322,0.15912
64.989,0.15909
67.995,0.15922
70.983,0.15938
73.749,0.15941
76.341,0.15971
78.990,0.15951
81.740,0.15909
84.623,0.15905
87.710,0.15961
90.328,0.15977
92.977,0.16003
95.733,0.16036
98.307,0.16066
100.997,0.16066
103.708,0.16049
106.345,0.16059
108.987,0.16075
111.745,0.16062
114.316,0.16075
117.006,0.16033
119.697,0.16033
122.294,0.16062
124.976,0.16088
127.720,0.16118
130.289,0.16102
132.979,0.16111
135.774,0.16105
138.273,0.16108
140.943,0.16118
143.693,0.16115
146.396,0.16121
149.002,0.16085
151.748,0.16108
154.316,0.16118
156.987,0.16128
159.736,0.16134
162.315,0.16111
164.993,0.16134
167.760,0.16164
170.277,0.16115
172.946,0.16115
175.694,0.16121
178.271,0.16134
180.946,0.16115
183.717,0.16108
186.269,0.16072
188.946,0.16059
191.695,0.16062
194.269,0.16088
196.944,0.16082
199.704,0.16075
202.275,0.16095
204.943,0.16039
207.693,0.16043
210.269,0.1603
212.946,0.15987
215.701,0.1601
218.281,0.16003
220.944,0.15961
223.693,0.15958
226.269,0.15977
228.974,0.15981
231.618,0.1601
234.306,0.15994
236.999,0.15984
239.742,0.15987
242.301,0.15951
244.955,0.15938
247.763,0.15909
250.293,0.15869
252.986,0.15873
255.631,0.15866
258.310,0.15866
260.966,0.15876
263.595,0.15856
266.308,0.15869
268.945,0.1586
271.601,0.1586
274.270,0.1584
276.927,0.15811
279.596,0.15784
282.346,0.15752
284.985,0.15729
287.593,0.15709
